<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.07	13:30:00	32.553	32.564	32.520	32.533	362	0	5
2025.03.07	13:45:00	32.533	32.533	32.460	32.496	470	0	10
2025.03.07	14:00:00	32.496	32.500	32.464	32.486	616	0	7
2025.03.07	14:15:00	32.486	32.500	32.418	32.480	751	0	7
2025.03.07	14:30:00	32.480	32.494	32.457	32.472	612	0	6
2025.03.07	14:45:00	32.472	32.477	32.389	32.398	588	0	6
2025.03.07	15:00:00	32.398	32.441	32.358	32.377	1004	0	7
2025.03.07	15:15:00	32.377	32.413	32.252	32.330	1543	0	9
2025.03.07	15:30:00	32.330	32.574	32.217	32.557	3588	0	11
2025.03.07	15:45:00	32.557	32.563	32.296	32.334	2642	0	8
2025.03.07	16:00:00	32.334	32.334	32.167	32.241	3163	0	7
2025.03.07	16:15:00	32.238	32.336	32.220	32.261	2170	0	6
2025.03.07	16:30:00	32.261	32.483	32.220	32.435	3102	0	6
2025.03.07	16:45:00	32.435	32.590	32.357	32.534	2830	0	8
2025.03.07	17:00:00	32.534	32.604	32.460	32.553	2885	0	8
2025.03.07	17:15:00	32.552	32.572	32.485	32.522	2664	0	6
2025.03.07	17:30:00	32.521	32.523	32.210	32.264	2834	0	10
2025.03.07	17:45:00	32.264	32.391	32.236	32.327	3132	0	8
2025.03.07	18:00:00	32.327	32.359	32.225	32.316	2485	0	8
2025.03.07	18:15:00	32.316	32.330	32.236	32.254	1869	0	6
2025.03.07	18:30:00	32.254	32.333	32.204	32.269	2430	0	6
2025.03.07	18:45:00	32.269	32.325	32.170	32.204	2013	0	6
2025.03.07	19:00:00	32.205	32.286	32.101	32.170	1899	0	5
2025.03.07	19:15:00	32.170	32.262	32.147	32.258	1800	0	5
2025.03.07	19:30:00	32.258	32.305	32.221	32.264	1526	0	5
2025.03.07	19:45:00	32.264	32.326	32.242	32.266	1653	0	6
2025.03.07	20:00:00	32.266	32.338	32.255	32.309	1623	0	7
2025.03.07	20:15:00	32.309	32.344	32.273	32.342	1631	0	5
2025.03.07	20:30:00	32.342	32.364	32.289	32.355	1047	0	5
2025.03.07	20:45:00	32.355	32.379	32.331	32.355	1025	0	6
2025.03.07	21:00:00	32.355	32.375	32.318	32.340	988	0	7
2025.03.07	21:15:00	32.340	32.440	32.338	32.375	818	0	5
2025.03.07	21:30:00	32.376	32.445	32.373	32.401	943	0	5
2025.03.07	21:45:00	32.401	32.432	32.369	32.388	1038	0	5
2025.03.07	22:00:00	32.388	32.465	32.377	32.459	889	0	6
2025.03.07	22:15:00	32.459	32.496	32.436	32.489	726	0	7
2025.03.07	22:30:00	32.489	32.530	32.471	32.518	874	0	5
2025.03.07	22:45:00	32.518	32.524	32.476	32.483	708	0	5
2025.03.07	23:00:00	32.483	32.516	32.452	32.507	357	0	5
2025.03.07	23:15:00	32.507	32.524	32.498	32.516	237	0	5
2025.03.07	23:30:00	32.516	32.521	32.478	32.478	212	0	5
2025.03.07	23:45:00	32.478	32.519	32.468	32.505	189	0	24
2025.03.10	01:00:00	32.409	32.634	32.333	32.534	825	0	11
2025.03.10	01:15:00	32.534	32.539	32.462	32.512	687	0	11
2025.03.10	01:30:00	32.512	32.596	32.512	32.572	557	0	9
2025.03.10	01:45:00	32.572	32.593	32.540	32.544	368	0	10
2025.03.10	02:00:00	32.544	32.621	32.515	32.620	642	0	10
2025.03.10	02:15:00	32.620	32.640	32.612	32.621	504	0	10
2025.03.10	02:30:00	32.621	32.625	32.602	32.622	344	0	10
2025.03.10	02:45:00	32.622	32.638	32.571	32.574	479	0	10
2025.03.10	03:00:00	32.574	32.625	32.548	32.593	686	0	10
2025.03.10	03:15:00	32.593	32.605	32.561	32.580	705	0	8
2025.03.10	03:30:00	32.580	32.606	32.566	32.588	589	0	7
2025.03.10	03:45:00	32.588	32.597	32.548	32.559	492	0	7
2025.03.10	04:00:00	32.559	32.665	32.553	32.624	1462	0	10
2025.03.10	04:15:00	32.624	32.632	32.540	32.548	977	0	9
2025.03.10	04:30:00	32.548	32.578	32.522	32.533	1004	0	7
2025.03.10	04:45:00	32.533	32.535	32.454	32.464	1061	0	7
2025.03.10	05:00:00	32.464	32.470	32.320	32.328	1125	0	7
2025.03.10	05:15:00	32.328	32.408	32.325	32.382	745	0	7
2025.03.10	05:30:00	32.382	32.466	32.378	32.421	864	0	7
2025.03.10	05:45:00	32.421	32.435	32.381	32.388	757	0	7
2025.03.10	06:00:00	32.388	32.405	32.370	32.383	796	0	7
2025.03.10	06:15:00	32.383	32.414	32.369	32.387	726	0	7
2025.03.10	06:30:00	32.387	32.434	32.372	32.428	558	0	7
2025.03.10	06:45:00	32.428	32.448	32.407	32.420	472	0	7
2025.03.10	07:00:00	32.420	32.453	32.418	32.432	335	0	7
2025.03.10	07:15:00	32.432	32.451	32.422	32.435	316	0	7
2025.03.10	07:30:00	32.435	32.452	32.414	32.439	322	0	7
2025.03.10	07:45:00	32.439	32.453	32.409	32.428	336	0	7
2025.03.10	08:00:00	32.423	32.454	32.399	32.451	490	0	7
2025.03.10	08:15:00	32.451	32.454	32.375	32.383	482	0	11
2025.03.10	08:30:00	32.383	32.430	32.344	32.424	809	0	9
2025.03.10	08:45:00	32.424	32.438	32.385	32.410	586	0	7
2025.03.10	09:00:00	32.410	32.485	32.409	32.446	636	0	7
2025.03.10	09:15:00	32.446	32.475	32.433	32.456	729	0	6
2025.03.10	09:30:00	32.456	32.464	32.416	32.462	737	0	5
2025.03.10	09:45:00	32.462	32.484	32.447	32.477	739	0	5
2025.03.10	10:00:00	32.477	32.540	32.459	32.525	872	0	6
2025.03.10	10:15:00	32.525	32.581	32.506	32.567	785	0	6
2025.03.10	10:30:00	32.567	32.614	32.558	32.600	700	0	5
2025.03.10	10:45:00	32.600	32.619	32.458	32.542	1159	0	5
2025.03.10	11:00:00	32.542	32.608	32.498	32.507	1408	0	10
2025.03.10	11:15:00	32.507	32.517	32.441	32.457	1081	0	5
2025.03.10	11:30:00	32.457	32.495	32.403	32.414	1087	0	5
2025.03.10	11:45:00	32.414	32.414	32.324	32.365	1343	0	8
2025.03.10	12:00:00	32.365	32.483	32.332	32.482	1322	0	5
2025.03.10	12:15:00	32.482	32.581	32.463	32.547	1300	0	5
2025.03.10	12:30:00	32.547	32.618	32.543	32.601	966	0	5
2025.03.10	12:45:00	32.601	32.629	32.564	32.570	978	0	5
2025.03.10	13:00:00	32.570	32.577	32.527	32.571	960	0	5
2025.03.10	13:15:00	32.571	32.577	32.445	32.451	844	0	5
2025.03.10	13:30:00	32.452	32.465	32.398	32.443	1125	0	6
2025.03.10	13:45:00	32.443	32.507	32.431	32.466	803	0	5
2025.03.10	14:00:00	32.466	32.486	32.409	32.469	1371	0	5
2025.03.10	14:15:00	32.469	32.504	32.440	32.488	932	0	6
2025.03.10	14:30:00	32.492	32.492	32.414	32.442	865	0	6
2025.03.10	14:45:00	32.442	32.498	32.422	32.484	927	0	6
2025.03.10	15:00:00	32.484	32.553	32.478	32.492	1250	0	6
2025.03.10	15:15:00	32.492	32.559	32.436	32.559	1191	0	6
2025.03.10	15:30:00	32.559	32.559	32.474	32.526	1227	0	6
2025.03.10	15:45:00	32.526	32.556	32.484	32.545	1016	0	6
2025.03.10	16:00:00	32.547	32.550	32.369	32.465	1821	0	8
2025.03.10	16:15:00	32.465	32.509	32.425	32.459	1521	0	7
2025.03.10	16:30:00	32.459	32.497	32.314	32.383	3151	0	7
2025.03.10	16:45:00	32.380	32.387	32.201	32.341	2846	0	6
2025.03.10	17:00:00	32.341	32.344	32.169	32.306	2848	0	6
2025.03.10	17:15:00	32.306	32.336	32.182	32.207	2775	0	6
2025.03.10	17:30:00	32.207	32.256	32.174	32.237	2396	0	6
2025.03.10	17:45:00	32.237	32.249	32.157	32.246	2201	0	8
2025.03.10	18:00:00	32.246	32.312	32.191	32.257	2282	0	8
2025.03.10	18:15:00	32.257	32.320	32.208	32.304	1826	0	6
2025.03.10	18:30:00	32.304	32.317	32.216	32.234	1504	0	6
2025.03.10	18:45:00	32.234	32.276	32.217	32.234	1529	0	6
2025.03.10	19:00:00	32.234	32.271	32.175	32.225	1520	0	5
2025.03.10	19:15:00	32.225	32.227	32.151	32.187	1272	0	5
2025.03.10	19:30:00	32.187	32.204	32.122	32.140	1154	0	5
2025.03.10	19:45:00	32.140	32.172	32.106	32.127	1385	0	5
2025.03.10	20:00:00	32.127	32.131	32.044	32.096	1678	0	5
2025.03.10	20:15:00	32.096	32.139	32.074	32.114	1543	0	5
2025.03.10	20:30:00	32.115	32.118	32.005	32.031	1570	0	5
2025.03.10	20:45:00	32.031	32.044	32.000	32.025	1581	0	5
2025.03.10	21:00:00	32.025	32.098	31.978	32.041	1664	0	5
2025.03.10	21:15:00	32.041	32.052	31.991	31.992	1187	0	5
2025.03.10	21:30:00	31.992	32.030	31.985	32.010	983	0	5
2025.03.10	21:45:00	32.010	32.068	31.988	32.007	1125	0	5
2025.03.10	22:00:00	32.007	32.020	31.933	31.969	1581	0	5
2025.03.10	22:15:00	31.969	32.146	31.954	32.088	1315	0	5
2025.03.10	22:30:00	32.088	32.136	32.045	32.060	1387	0	5
2025.03.10	22:45:00	32.060	32.087	31.981	31.998	1268	0	5
2025.03.10	23:00:00	31.999	32.110	31.982	32.097	752	0	5
2025.03.10	23:15:00	32.097	32.108	32.068	32.100	434	0	5
2025.03.10	23:30:00	32.099	32.126	32.080	32.098	380	0	6
2025.03.10	23:45:00	32.098	32.113	32.085	32.098	241	0	24
2025.03.11	01:00:00	32.103	32.132	32.080	32.082	612	0	10
2025.03.11	01:15:00	32.082	32.087	32.044	32.045	285	0	10
2025.03.11	01:30:00	32.045	32.074	32.026	32.071	299	0	9
2025.03.11	01:45:00	32.071	32.075	32.032	32.036	278	0	9
2025.03.11	02:00:00	32.036	32.059	32.027	32.036	371	0	9
2025.03.11	02:15:00	32.036	32.045	31.994	32.015	365	0	9
2025.03.11	02:30:00	32.015	32.021	31.975	32.011	536	0	10
2025.03.11	02:45:00	32.011	32.029	32.003	32.011	466	0	9
2025.03.11	03:00:00	32.011	32.040	31.986	32.002	586	0	9
2025.03.11	03:15:00	32.002	32.038	31.982	31.996	559	0	9
2025.03.11	03:30:00	31.996	32.015	31.967	31.975	554	0	9
2025.03.11	03:45:00	31.975	31.992	31.888	31.931	968	0	8
2025.03.11	04:00:00	31.931	31.946	31.802	31.907	2038	0	8
2025.03.11	04:15:00	31.907	32.018	31.905	31.983	1374	0	7
2025.03.11	04:30:00	31.983	32.050	31.971	32.043	1245	0	7
2025.03.11	04:45:00	32.043	32.067	32.025	32.054	944	0	7
2025.03.11	05:00:00	32.054	32.167	32.038	32.148	1174	0	7
2025.03.11	05:15:00	32.148	32.205	32.137	32.187	994	0	7
2025.03.11	05:30:00	32.183	32.203	32.136	32.145	1032	0	7
2025.03.11	05:45:00	32.145	32.187	32.117	32.163	829	0	7
2025.03.11	06:00:00	32.163	32.199	32.162	32.179	802	0	7
2025.03.11	06:15:00	32.179	32.189	32.134	32.142	752	0	7
2025.03.11	06:30:00	32.142	32.164	32.137	32.161	451	0	7
2025.03.11	06:45:00	32.161	32.164	32.141	32.159	327	0	7
2025.03.11	07:00:00	32.159	32.173	32.120	32.167	403	0	8
2025.03.11	07:15:00	32.167	32.182	32.144	32.180	332	0	7
2025.03.11	07:30:00	32.180	32.196	32.169	32.179	385	0	7
